description_poste,secteur_travail
" Vos principales missions: - Coordonner l’équipe de migration et comprendre les activités et les problèmes pour apporter le support nécessaire et les plans d’action de résolution. - Être le point de contact privilégié vis-à-vis d’Orange France DTSI et collaborer étroitement avec le responsable de programme - Réaliser le suivi des activités (e.g. : Indicateurs, Qualité de Service, problèmes, correctifs, nombre de demandes clients etc) - Veiller à la mise en œuvre de la roadmap, de la stratégie de migration avec le responsable de programme Vos principales activités : Il s’agit principalement d’un rôle de coordination et de pilotage en réalisant notamment les tâches suivantes : - Vue et suivi global des activités sur l’infrastructure IaaSv1 et IaaS NG (MCO, exploitation, support et accompagnement) - Organiser des points de préparation à la migration avec les clients (Réunions de préparation aux migrations, planification des dates de migrations, reportings). - Rédiger des comptes rendus synthétiques hebdomadaires à destination des parties prenantes (e.g. responsable programme, managers) - être le SPOC privilégié et interagir avec les équipes DTSI et notamment le programme manager en France) - Co-construire avec l’équipe et les parties prenantes les indicateurs de performance pertinents à suivre (e.g. alerting, satisfaction client, nb de tickets traités, en cours, capacitaire etc) - Rassembler, consolider, suivre et partager ces indicateurs régulièrement (e.g. mensuel) - Suivre et communiquer sur l’organisation et des événements du support et des astreintes 24h/7 - Améliorer les process existants, proposer des méthodes de travail permettant de gagner en efficacité et communiquer (rédaction de process à destination des projets, des clients) - Co-construire la roadmap produit / services / activités avec le responsable de programme et s’assurer de son suivi et bonne exécution/ Vous vous reposez sur l’expertise de l’équipe et vous travaillerez étroitement avec le leader technique de l’équipe. Compétences Indispensables: Connaissance du domaine de l’infra (Vmware) Compétences Souhaitables: Compétences organisationnelles (agile) / rédactionnelles Vous possédez tout ou parties des compétences transverses : Bon relationnel et savoir travailler en toute autonomie Savoir communiquer et échanger des informations Avoir une capacité d'analyse et de synthèse Etre rigoureux au quotidien Etre curieux Avoir le sens du résultat et de la satisfaction du demandeur (qualité et délais) Savoir synthétiser, effectuer des reportings",Télécommunications
" Nous sommes actuellement à la recherche de Leader technique Python/Ansible confirmé. La mission consistera à assumer la responsabilité du développement d'automates en Ansible/Python destinés à la gestion des équipements réseau. Le projet englobe l'ensemble des équipements réseau relevant du domaine. La réalisation de ce projet nécessite également une familiarité avec les méthodes de développement Agile. Responsabilités : Contribuer activement à l'avancement du projet en développant les automates, en documentant leur fonctionnement et en communiquant avec les utilisateurs. Gérer l'intégration des automates dans un environnement de test et participer au déploiement vers la cible. Contribuer à la planification, à l'organisation et au suivi du projet tout en respectant les échéances. Programmer les réunions nécessaires, résoudre les points de blocage et, le cas échéant, escalader les problèmes. Évaluer les risques et proposer des solutions pour les maîtriser. Assurer la gestion du cycle de vie des automates. Fournir un soutien technique et des conseils aux équipes impliquées dans la mise en œuvre et la migration vers les automates développés. Connaissances / compétences techniques : Expérience confirmée en développement Python Connaissance avancée dans l’utilisation d’Ansible Compétences en programmation, en développement et architecture logicielle. Excellentes capacités de communication et aptitude à travailler en équipe. Maitrise dans l’utilisation d’outil de versioning (Git) pour gérer les modifications du code source. Connaissance des méthodes Agile (SCRUM) Connaissance des outils JIRA/Confluence Connaissance des environnements système Linux Connaissance des réseaux et infrastructures informatiques est un plus",Technologies de l'information et services
" Les missions s’articulent autour des objectifs suivants : Pré-qualifier les besoins de nos projets Data & IA avec les équipes métiers, avec priorisation globale par la valeur, afin de définir la solution et d’en piloter la livraison ; Développer et qualifier des solutions data pour répondre aux besoins des métiers et les conseiller. Activités • Qualification du besoin des projets Data & IA des entités métier et conception des solutions data répondant au besoin exprimé. Produire des documents architecture data ; • Contribuer à la définition et l’implémentation d’un urbanisme data permettant d’accélérer l’industrialisation des cas d’usage Data & IA porteurs de valeur ; • Définir une approche et des solutions pour identifier et collecter les données requises ; • Définir une approche et des solutions pour l’opérationnalisation des solution Machine Learning (MLOPS). • Se maintenir au courant des évolutions dans le domaine et des solutions mises en œuvre par des acteurs similaires ; • Maintenir une veille sur les nouvelles technologies, méthodes de modélisation des données et systèmes de gestion de l’information pour déterminer lesquels devraient être intégrés dans l’architecture data entreprise, et définir une stratégie d’implémentation. Particularités de l’offre • Vous évoluerez dans un contexte international ; • Les évolutions des services et des technologies data nécessitent une adaptation permanente ; • Vous serez en forte interaction avec les experts métiers, data scientists & data analysts, qui seront vos clients ; • Vous travaillez avec beaucoup d’autonomie au sein d'une équipe dynamique et soudée. Rejoindre l'équipe c'est une aventure technique mais humaine par-dessus tout ! • La data & l’IA est une transformation majeure pour le groupe Orange, vous serez un acteur de cette transformation ; • Vous collaborerez avec l’équipe Data & IA de la Division Orange Innovation et participerez à des communautés transverses groupe regroupant des experts Data & IA de différentes divisions (wholesale, entreprise, Orange France, les filiales du groupe, …).",Télécommunications
" Au sein de Sofrecom, vous serez en charge en tant que chef de projets client de Concevoir, développer et mettre au point des projets d’application informatique, de la phase d’étude à son intégration, pour le client selon des besoins fonctionnels et un cahier des charges défini. Vos Principales Missions : Encadrer et animer des équipes projets ; Superviser et coordonner le travail de l’ensemble des membres de l’équipe ; Mettre en place les structures de suivi et ses règles de fonctionnement (Méthodes, outils de pilotage, indicateurs…) ; Identifier les forces et axes d'amélioration de l'équipe au regard des objectifs et du contexte ; Mettre en place les moyens matériels et processus pour réaliser les objectifs ; Gérer le projet en s’appuyant sur l’expertise technique du coordinateur ; Suivre les étapes, délais du projet et analyser les écarts par rapport à la demande ; Adapter et optimiser le projet selon les évolutions et le contexte ; Piloter et mesurer l’état d’avancement (Tableaux de bord, Indicateurs…) ; Préparer & Analyser les plannings de déploiement avec l’équipe projet (Macro chiffrage) ; Préparation et suivi des comités pilotages & réunion suivi de projet => France / Maroc ; Définir l’ensemble des phases techniques du projet ; Identifier et prioriser les besoins et exigences métier ; Rédiger les Spécifications Techniques du Projet sur la base du cahier des charges en fonction de l’architecture technique et des exigences en termes de sécurité ; Réaliser des supports techniques ; Vérifier que le développement est conforme aux attentes des clients avant la Mise en Production (Établir les parcours client, Test de bout en bout via IHM…) ; Analyser des problèmes techniques ; Déterminer des mesures correctives ; Reporter régulièrement au Business Owner et DEV Manager ; Test et recette technique ; Planifier et organiser les tests ; Suivre la mise en production et le déploiement. COMPÉTENCES TECHNIQUES • Bonne connaissance de l’architecture applicative • Structure et découpage des applications en composants • Maitrise des Couches Services (Data et échanges Inter applicatif) Bases de données PostGreSQL - SQL - Bus d’évènements… • Capacité à comprendre les impacts de l’architecture du système d’information sur le projet • Connaissance des Solutions technologiques clefs d’architecture microservices et de technologies Java/Angular • Conaissance des Chaines d'intégration et de déploiement des applications : - Outillage - Environnement d'hébergement dont CI/CD • Connaissance des principes d’exploitation, des contraintes sécurités, de la gestion de flux réseaux • Maitrise des outils de de gestion de projets : Jira, MS Projets…",Télécommunications
" Pour l'un de nos projets nous recrutons un Ingénieur JAVA JEE Full Stack (H/F). Afin d'assurer les missions suivantes : Analyse des besoins métier des clients, et réalisation de l'analyse technique, Définition de l'architecture applicative et des standards /outils de développement, Développement de nouvelles applications.",Technologies de l'information et services
" Pour l’un de nos projets, nous recrutons un ingénieur développeur Python / Devops . A ce titre vous assurez les missions suivantes : Concevoir et Maintenir en condition opérationnel des applications dans un environnement cloud (PAAS) Gestion des incidents et la correction des dysfonctionnements Rédaction des documentations techniques et tests automatisés (unitaire, intégration, non régression) Accompagner et soutenir les différents acteurs dans l’usage des outils",Technologies de l'information
" Vous aurez comme principale mission: Développer et maintenir en condition opérationnelle des robots RPA(Robot Process Automation)/ RDA(Robot Desktop Automation)liés au programme d'accélération DATA/IA/Automatisation Concevoir, développer des processus d’automatisation Estimer les charges de développement et la complexité Travail en transverse avec les métiers et les équipes de déploiement",Transformation digitale
" Quel sera votre rôle dans la #TeamDeloitte ? Vous intégrez nos équipes Technology & Analytics en tant que Consultant Expérimenté IT Asset Management pour accompagner nos grands clients afin de comprendre leurs métiers, leurs risques et d'auditer leurs systèmes avec des approches efficaces et outillées, permettant ainsi de mesurer les impacts des faiblesses identifiées sur leur gestion des assets logiciels. A ce titre, Vous : • Délivrez des prestations d’expertise SAM chez les clients, • Contribuez à la réalisation de rapports de conformité, plan d’optimisation et réduction des risques, • Réalisez des revues de conformité logicielle (IBM, Microsoft, …), • Accompagnez nos clients dans le choix d’outils SAM phares du marché (Aspera SmartTrack, Snow Software, Flexera, ServiceNow…), • Contribuez au développement de nos offres «Cloud» auprès de nos clients. Vous grandissez au sein d’une équipe où se mêlent pluridisciplinarité, expertise pointue, esprit d'entreprendre et forte cohésion. Tout au long de votre expérience vous développez et renforcez un set de compétences grâce aux programmes de formations proposés. Vous pourrez contribuer à la vie du Cabinet (recrutement des équipes, animation de formation, développement commercial, manager RH…).",Services professionnels et conseil
" Pour accompagner la croissance de notre activité au sein du centre de services international de Casablanca, nous recrutons un Développeur UiPath L’équipe automates a pour mission de développer et maintenir en condition opérationnelle des robots RPA(Robot Process Automation)/RDA(Robot Desktop Automation)liés au programme d'accélération DATA/IA/Automatisation Ces RPA/RDA sont développés sur 3 technologies différentes (UiPath, Wintask, Contextor) Activités principales Concevoir, développer des processus d’automatisation sur la base d'une Expression de Besoin réalisée par desBusiness Analyst sur le logiciel UiPath. Estimer avec un Business Analyst et un chef de projet les charges de développement et la complexité Travail en transverse avec les métiers et les équipes de déploiement d'OBS",Transformation digitale
" Vos missions: Le responsable Sécurité du Système d’Information est le référent sur les volets Sécurité Informatique au sein d’AFMA. Il a pour vocation de : • Définir la politique sécurité de l’entreprise et de veiller à sa bonne application: Élaborer et mettre en œuvre une politique de sécurité informatique alignée sur les objectifs de l'entreprise. Définir les règles, les procédures et les bonnes pratiques en matière de sécurité des systèmes d'information. • Relayer les actions de sécurité sur le terrain, auprès des utilisateurs, des intervenants techniques et des relais opérationnels. • Procéder à l’analyse des risques, à la surveillance et aux contrôles nécessaires en matière de sécurité Informatique.",Cybersécurité
" Rejoignez notre équipe dynamique en tant qu'ingénieur réseau et système passionné, où vous aurez l'opportunité de mettre à profit vos compétences techniques pointues et votre expertise pour contribuer à notre infrastructure et assurer une connectivité et des systèmes fiables et performants. Missions :? Assurer la configuration, la disponibilité et le paramétrage des infrastructures réseau du Groupe. Garantir la sécurité et la maintenance des réseaux. Identifier les vulnérabilités du système, proposer des solutions rapides et éventuellement des plans de secours. ?? Compétence :? Administration, diagnostique et dépannage sur : Switching et Routing CISCO, TCP/IP, Pare-feu (Watchguard, Fortigate, Stormshield), Réseau avancé IPV4 (Routage, HSRP, ACL...), load balancing (Peplink), Supervision réseau. Des compétences basiques dans la configuration des systèmes informatiques (VMWare Esxi, Windows Server, Linux, Active directory, GPO...).",Technologies de l'information
" Mission principale, raison d’être ou finalité du poste: En tant que chef de projet, vous aurez la responsabilité de gérer une équipe de consultants sur des projets applicatifs transverses, vous aurez pour mission d’assurer la mise en place des processus métiers et l’adaptation des applications aux besoins et exigences de nos référents métiers. Vous serez l’interlocuteur principal des métiers pour les accompagner, recenser leur besoin et assurer le bon déroulement de la réalisation et la maintenance des applications. Missions et activités du poste: Piloter une équipe des consultants de développement ; Etablir le planning et définir les jalons avec les différentes parties prenantes ; Suivre et contrôler l’implémentation et le déroulement des développements ; Organiser, piloter et effectuer les revues de projet et déterminer si les objectifs ont été atteints ; Contribuer et améliorer les processus de développement ; Fédérer les ressources nécessaires à la conduite du projet et assurer un rôle de pilotage et d’animation ; Piloter l’avancement des projets et des réalisations (étapes jalons, ouvertures des flux, plans d’actions…) ; Analyser et suivre les incidents techniques ; Mettre en place les outils de supervision applicative et de suivi des performances en collaboration avec la cellule d’architecture ; Assurer la capitalisation documentaire technique ; Gérer le budget et le planning des développements ; Analyser les besoins du client ; Participer aux ateliers fonctionnels ; Organiser et animer les réunions projet.",Technologies de l'information
" As an Accessibility Tester, you will be responsible for ensuring that websites, web applications, and mobile apps meet accessibility standards and guidelines. You will work with a team of Accessibility Test Engineers, develop test cases and plans, perform accessibility evaluations, and report findings to project stakeholders. Your duties will include: Conducting accessibility evaluations of websites and native applications Assisting with the creation of processes, procedures, and documentation related to web accessibility. Learning how to assess and optimize website designs to meet accessibility needs. Providing technical assistance and remediation guidance to designers, developers, and QA Learning about accepted accessibility patterns and best practices Assisting with analyzing code for accessibility issues Communicating accessibility requirements and recommendations to project stakeholders",Technologie du web et applications mobiles
" Key Accountabilities : Collaborate with the internal requestors in order to define the scope ansd activities related to technical assurance for the Group products Schedule and coordinate security testing globally maintaining relationship with the testing vendors Evaluate the audit results for consistency and reporting quality Strong skills related to cyber défense able to assess technical assurance activities Evaluate and select vendor with the correct tools and technologies to perform assurance activities Accountable for the delivery of directly assigned Penetration Tests Accountability for the delivery of assigned Penetration Tests that are to be conducted by approved vendors Accountable for the management of assigned Penetration Test vendors Ability to work without supervision experience of penetration test tools (Burp Suit, Metasploit, Nmap, Wireshark) and methodologies Knowledge of cyber defense best practices, procedures. Coordination & Project management Skills: Leadership. Project leadership was a hot topic this year. ... Negotiation. Scheduling. Cost Control. Risk Management. Contract Management. Critical Thinking. Communication. Project Recovery Meetings Management A Sense of Humour",Cybersécurité
" Vous aurez comme principale mission: Superviser et accompagner deux membres de l’équipe dans leur montée en compétence Connaitre, comprendre et sécuriser l’environnement (CyberArk) et son contexte. Coordonner des actions avec d’autres équipes produits Cyber Défense pour s’assurer de la pertinence des reports sécurité produits. Collaborer avec les entités du groupe pour définir la politique de sécurité du Privileged Access Management ainsi que la de conformité des Reporting produits. Modéliser et examiner les mesures de sécurité sur les composants de la plate-forme PAM (CyberArk) Executer le PAM Product Continuous Security Assurance Plan (CyberArk Security Tower– CST) Fournir une analyse et un aperçu des vulnérabilités de sécurité détectées grâce à des indicateurs, alimentés par votre expertise et les feedbacks de l'équipe. Effectuer des tests de sécurité techniques pour détecter les failles de sécurité Modéliser et examiner les indicateurs de sécurité sur les composants de la plateforme PAM (CyberArk) Interagir avec les équipes techniques et de GO Security pour s’assurer de la mise en place en temps voulu de mesures de remédiation réelles des vulnérabilités ainsi que de leur conformité en matière de politique de sécurité.",Cybersécurité
 Vos missions principales: Analyser avec nos clients leurs processus métiers et leurs besoins fonctionnels. Rédiger l'expression de besoins et les spécifications fonctionnelles. Animer les ateliers de cadrage avec les clients. S'assurer du respect du standard afin de limiter les développements spécifiques. Assister la maîtrise d’ouvrage notamment dans la définition de l’objectif du projet. Participer à la sélection de solutions adéquates. Participer à la définition du plan de recette.. Animer une équipe d’utilisateurs. Participer à l’analyse d’impacts sur l’organisation et les processus de travail. Accompagner la conduite du changement Définir des actions de formation utilisateur.,Conseil en Systèmes d'Information
" Rattaché(e) au Centre d'Analyse et de Facturation, vos principales activités consiste à : • Instruire une demande d’abonnement d’un client administration ; • Etablir le contrat d’abonnement à signer par le client ; • Créer le contrat d’abonnement dans la base de données et demander la mise en service des fournitures Lydec ; • Traiter le bilan de la relève et de consommation ; • Assurer le suivi et le traitement des Ordres de Travail (OT) ; • Assurer le traitement des relectures ; • Mettre à jour la base de donnée par la saisie des changements de compteurs ; • Etablir les redressements de consommation ; • Clôturer et valider la tournée ; • Transférer les données fiables pour valorisation après validation ; • Etablir les statistiques sur l’activité facturation (Etat des estimés, Etat des résiliations et nouveaux abonnements) ; • Analyser les réclamations, les PV et les demandes de résiliation ; • Etablir les factures apériodiques, en respectant les délais de facturation apériodique ; • Etablir les statistiques sur la facturation apériodique.",Énergie
" Pour le compte de notre client, multinationale spécialisée dans l'infogérance et l'intégration informatique, nous recrutons des Ingénieurs Avant-vente en domaine Telecom pour une mission en Freelance de longue durée sur site à Mohammedia. Mission : Comprendre les besoins techniques du client. Traduire le cahier des charges en spécifications techniques. Etude et Design de solution. Evaluation et sélection de solution adaptée au besoin. Élaboration de la proposition technique. Réaliser le chiffrage des propositions.",Télécommunications
" Vous interviendrez en tant qu’ingénieur.e de production DevOps au sein de l’équipe en charge de toutes les applications ALMT (asset liability management & treasury). Missions Définition des procédures opérationnelles • Participer à l'étude et à l'analyse des besoins en systèmes d'exploitation de l'entreprise. • Réaliser l'analyse des contraintes opérationnelles. • Assurer et optimiser l'industrialisation de la production. • Définir les procédures et diffuser les instructions de mise en production. • Définir et mettre en place les outils de standardisation, d'automatisation et de sécurisation de la production. • Mettre en place et diffuser des indicateurs (performance, coût, délai), des standards (ITIL) et des procédures opérationnelles. • Maintenir les ressources en condition opérationnelle (MCO) en veillant au respect des normes et des critères de performance. • Participer à la définition du plan de reprise d'activité (PRA) et de l'activité de continuité d'activité. • Assurer une veille technologique en termes de méthodes et d'outils de production. Réaliser l'intégration technique des applications • Définir les plans de production (PMEP). • Installer les logiciels et matériels sélectionnés et configurer les postes de travail. • Déployer et migrer les serveurs avec l'ingénieur système. • Intégrer les nouvelles applications dans le système d'exploitation existant. • Mettre en place un programme de test pour les nouvelles installations. • Gérer les relations avec les fournisseurs de services. ""Support client • Apporter un support technique aux équipes L1/ IT/autres (2ème et 3ème niveau). • Intervenir sous contrainte de temps lors d'incidents opérationnels (analyse des incidents, diagnostic et résolution des incidents). • Anticiper les besoins des utilisateurs et les évolutions des systèmes. Analyse des rapports techniques • Collaborer à la définition ou à l'amélioration des procédures de sécurité. • Établir la documentation technique. • Assurer l'efficacité permanente des systèmes de sécurité. • Suivre les incidents d'exploitation, analyser leurs causes et prendre les mesures correctives associées.",Conseil en Systèmes d'Information
" La mission d’Analyste Fonctionnel EDI consiste à prendre en charge les demandes S2S EDI exprimées par le Business/Client, les demandes émanées d’un incident, de rédiger l’étude de faisabilité ainsi que les spécifications technico-fonctionnelles et tous documents liés au processus de déploiement, d’effectuer les tâches opérationnelles tout en respectant les différentes contraintes attenantes au projet en termes de charges, de qualités et de délais. A ce titre, l’analyste fonctionnel devra démontrer sa capacité à analyser les besoins Business/Client, définir le périmètre d’impact SI, de proposer des solutions en adéquation avec le SI client, de réaliser les actions nécessaires et prévenir les périmètres concernés dans les meilleurs délais. Un bon niveau de communication interne, vis-à-vis du Business et du client est primordial dans sa mission ainsi qu’un niveau d’engagement et d’implication remarquable. Fonctions et responsabilités: Assurer la réalisation et le déploiement des projets EDI : -Réaliser le cadrage des demandes EDI et leur macro-chiffrage -Réaliser l’étude de faisabilité et le chiffrage des besoins -Réaliser les demandes EDI (Spécifications, action) dans le respect des conditions négociées dans le chiffrage (solution, charge, délai) -Faire valider les spécifications des demandes avec le Solution Consultant -Réaliser les tests, y compris les tests unitaires, tests d’intégration et de non régression -Créer/mettre à jour la documentation -Aider les demandeurs en cas de besoin à réaliser les tests métier (UAT) -Apporter les modifications nécessaires suite à la phase d’UAT, de mise en production et procéder à une re-livraison -Faire les demandes d’installations en pré-production et en production en s’assurant de l’accord des différentes parties prenantes -Assurer le support technique et la résolution des anomalies pendant la phase de garantie -Au besoin, assurer la passation des projet EDI aux demandeurs à des fins support N1 Suivre ses portefeuilles de projets en termes d’avancement : -Donner en permanence la visibilité actualisée sur le planning des déploiements au TL et aux demandeurs en modulant la communication selon l’audience/priorité -Assurer la bonne mise à jour des données des projets contribution en temps réel dans JIRA -Alerter au bon niveau (TL, demandeurs, SC, Architecte, Support…) de tout risque ou blocage sur son portefeuille de projets -Faire appel à l’expertise du domaine quand nécessaire (Solution Consultant, Architecte, Plateforme…) Support Niveau 3 : -Prendre en charge dans les délais attendus les demandes de support -Adapter la fréquence de communication à la criticité de chaque incident -Analyser les causes des incidents, proposer une solution ou fournir l’analyse détaillée au support N2 quand l’origine de l’incident est hors du scope -Communiquer en fonction de la gravité de l’incident aux personnes concernées (Business, Client, périmètre applicatif) Amélioration Continue : -Collecter et analyser les pistes d’amélioration (écoute client, NPS, audits de processus, audit sécurité, …) -Participer activement aux rituels hebdomadaire",Conseil en Systèmes d'Information
" Pour le compte de notre client, multinationale spécialisée dans l'infogérance et l'intégration informatique, nous recrutons un Chef de projet Scrum Master pour une mission en Freelance à Rabat Technopolis. Vous aurez pour principales missions et responsabilités: • Mettre en œuvre Scrum dans l’organisation et être le garant de la pérennisation de la démarche Agile • Planifier et animer les cérémonies agiles (poker planning, sprint planning, dailyscrum, revue de sprint, rétrospective) • Trouver des techniques de gestion efficace du Product Backlog • Aider les squads à comprendre la nécessité d’avoir des items de Product Backlog clairs et concis • S’assurer que le Product Owner sait comment constituer le Product Backlog pour maximiser la valeur du produit • Aider les développeurs à créer des produits de grande valeur • Accompagner les développeurs dans les environnements organisationnels où Scrum n’est pas encore entièrement adopté et compris • Accompagner les équipes à identifier les obstacles et à définir les plans d'actions pour les lever • Animer des formations sur le thème de l'agilité et organiser des événements Scrum • Rédiger et présenter des rapports d’avancement (burndown charts ou burnups…) • Assurer la communication interne avec les squads, le pilotage et le management • Analyser de façon proactive les obstacles, éléments bloquants, interférences extérieures et chercher à les résoudre • Collaborer avec d’autres Scrum Master pour améliorer l’efficacité de l’utilisation de Scrum dans l’organisation • Avoir le niveau d’engagement nécessaire pour l’atteinte des objectifs fixés par le Product Owner pour chaque sprint • Respecter le code de conduite de la Digital Factory en incarnant ses valeurs",Technologies de l'information
" Votre mission : Dans un contexte multiculturel au sein de la division IT d’Orange Business Services, la Solution Unit « Billing » assure la maintenance et l’évolution des applications de facturation des offres Entreprises pour la France et l’International, et est garant de la qualité de service des runs de sorties de factures clients. L’équipe pluridisciplinaire est composée de plus de 40 personnes réparties sur 5 sites (Rennes, Nice, Dublin, Paris, Rabat). Au sein de cette équipe, vous participerez à l’exécution des runs de sortie de facture et à l’intégration et la validation des nouvelles versions logicielles. A ce titre vous contribuerez de façon permanente à la qualité de service du domaine Billing France et International d’Orange Business Services. Dans un contexte multiculturel au sein de la division IT d’Orange Business, l’entité « Billing » assure la maintenance et l’évolution des applications de facturation des clients Entreprises pour la France et l’International, et est garant de la qualité des factures clients. L’équipe pluridisciplinaire est composée de plus de 40 personnes réparties principalement sur 3 sites (Rennes, Dublin et Rabat). Au sein de l’entité « Billing », vous rejoindrez l’équipe applicative « IMS » (Invoice Management System). Cette application IMS, cœur de métier de la facturation, est composée de 3 services principaux : 1 services de calcul (calcul de remises, application des taux de changes, gestion des taxes, tris des lignes factures, …), un service de production de la facture sous différents formats, et un service de Reporting permettant l’alimentation de nombreux systèmes tiers, en particulier les systèmes de comptabilité. L’équipe applicative IMS est actuellement composée de 3 personnes localisées à Rennes (un chef de projet et 2 Business Analyst). Nous cherchons à étendre cette équipe à Rabat en recrutant un analyste fonctionnel complémentaire. Votre rôle sera d’étudier des évolutions fonctionnelles demandées par les métiers et des évolutions techniques permettant d’améliorer l’exécution de l’application en production ou demandées dans le cadre de projet de modernisation de l’IT d’Orange Business. Vous rédigerez des Users stories et serez en relation directe avec l’équipe de développement qui est externalisée chez un partenaire. Vous rédigerez de la document fonctionnelle et technique et réaliserez des tests de validation. Vous participerez à toute la chaine de production de la conception jusqu’au déploiement, et serez particulièrement impliqué/e dans la qualification et les tests métiers. Vous accompagnerez les développeurs et vous les aiderez à produire un code de qualité, performant et maintenable. En complément de ces activités liées au process du Change management, vous serez impliqué dans des activité de support : du support fonctionnel sur l’application IMS permettant en particulier de répondre à des sollicitations client sur la compréhension de sa facture et du support opérationnel lors des périodes de sorties de facture où l’application IMS sera utilisée.",Technologies de l'information
" Au sein de CTIO, vous travaillez comme architecte fonctionnel du Système d’Information (SI) B2B sur les domaines fonctionnels suivants : Monitoring : mesure au fil de l’eau de l’usage et de la performance des solutions fournies aux clients Fonctions d’alerting, corrélation, analyse des causes racines et diagnostic, très couplées avec l’ITSM (IT Service Management) Fourniture d’une vision bout en bout / multi source, pour accompagner l’évolution des solutions clients, de plus en plus composites et virtualisées Collecte et exposition des données d’usage et de performance pour utilisation par les autres domaines (ex : reporting) Reporting : apporte des solutions de Reporting et d’Analytics destinées aux clients d’OBS, sur l’ensemble des domaines de l’entreprise et l’ensemble des offres du marketing (en lien étroit avec les projets Time To Market) Collecte des métriques Définition des assiettes de calcul de statistiques Calcul des statistiques Exposition des données via API et mise à disposition des clients de rapports exécutifs ou opérationnels Vous serez un architecte fonctionnel du SI pour contribuer à la rationalisation du parc applicatif, la mutualisation de briques SI, la stratégie API et Data, l’accompagnement de la digitalisation… en s’appuyant sur une collaboration transverse avec les autres architectes (fonctionnels, logiciels et techniques) et les équipes SI servant le business des entreprises (B2B). Vos principales missions Construire le SI de demain avec des acteurs business (marketing, métiers) et SI, dans un cadre d’agilité coordonnée à l’échelle de tout le système d’information B2B, Accompagner les projets opérationnels de transformation du SI sur leurs choix d’architecture fonctionnelle, notamment via la réurbanisation de l’articulation monitoring / reporting, Être le garant de l’application du cadre d’urbanisme du SI d’Orange Business et de la stratégie de transformation opérationnelle Vos activités principales Vous préconisez des principes de solution (choix d’outils, schéma d’intégration, répartition des fonctions, …) pour les projets opérationnels que vous accompagnez, en respectant les recommandations établies ; Vous définissez l’architecture détaillée pour ces projets : cas d’utilisation, modèle de données, interfaces… ; Vous décrivez les étapes de transformation d’un existant vers une cible à atteindre ;",Tests logiciels
" Au sein d’une équipe projet fonctionnant en mode collaboratif et Agile scrum, Kanban, X Programing, vous êtes responsable du test des développements réalisés sur l’une des applications de l’écosystème. A ce titre vous prenez en charge : La définition d’une stratégie de test La rédaction et le maintien du cahier de test (test fonctionnels, tests d’intégration, tests de non régression, tests techniques) pour chaque sprint de l’application L’interface avec le Business Owner/Proxy Product Owner pour suivre les besoins clients L’exécution des tests planifiés sur l’environnement d’intégration continue Le reporting sur l’avancement des tests La rédaction des AR signalant les défauts constatés Le suivi des AR émis Pour outiller les activités de test, Orange Business Service s’appuie sur l’outil TFS. L’équipe intègre un expert sur cet outil, qui peut être sollicité en cas de problème délivrés L’Analyse des user story fonctionnelles Proactivité sur les alertes et points bloquants",Développement logiciel
" Au sein d’une équipe projet fonctionnant en mode collaboratif et Agile scrum, Kanban, X Programing, vous serez l’un des développeurs, travaillant en coordination avec le Product-Owner et équipes partenaires. Au sein de l’équipe projet DANUBE fonctionnant en mode Agile vous serez à la fois le Référent Technique avec un role d'animation Agile (Scrum Master). Vous effectuerez différentes tâches : L’estimation du niveau d’effort de développement des User stories La définition des spécifications détaillées à partir des User stories Le développement selon une architecture logicielle établie la conduite des tests unitaires et d’intégration 2 à 2 Le développement des outillages de test associés L’automatisation et l’industrialisation des opérations régulières (process de build, les tests, les audits de qualité de code, la containerisation du code, …) La préparation des packages de livraison (mode devops) Vous assurez le support technique et la maintenance corrective et adaptative des éléments délivrés Vous animer l’équipe de développeurs Vous êtes en relation avec le Product Owner pour gérer le backlog et définir les US",Développement logiciel
" Assurant le rôle de développeur dans une Feature Team de développement dans une organisation d’agilité synchronisée, il participe à la réalisation des User Stories et des Enablers effectués par l’équipe. De ce fait il participe à : Analyser les impacts, Chiffrer les évolutions, Définir des spécifications fonctionnelles/techniques, Développer de nouvelles fonctionnalités Front & Back, Rédiger et exécuter les tests associés aux user stories, Enrichir le patrimoine de tests automatiques, Corriger les defects remontés par les métiers, Maintenir la documentation à jour, Livrer l’application… …Tout en respectant les normes et les bonnes pratiques définies sur le projet.",Développement logiciel
